@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 2 -N 15-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 50'

@attribute Airs_Center_X_0_9 numeric
@attribute Airs_Center_X_0_16 numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Airs_Center_X_0_4 numeric
@attribute Hough_Lines_DiagonalPos_3_4 numeric
@attribute Airs_Center_X_2_9 numeric
@attribute Airs_Center_X_0_25 numeric
@attribute Hough_Lines_Horizontal_4_9 numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Airs_Center_X_7_16 numeric
@attribute Hough_Lines_Vertical_4_9 numeric
@attribute Airs_Center_Y_9_25 numeric
@attribute Mass_Center_Y_0_9 numeric
@attribute Mass_Center_Y_2_9 numeric
@attribute Airs_Center_X_14_25 numeric
@attribute Airs_Center_X_17_25 numeric
@attribute Airs_Center_X_20_25 numeric
@attribute Airs_Center_X_9_16 numeric
@attribute Mass_Center_Y_0_16 numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Airs_Center_X_4_25 numeric
@attribute Hough_Lines_DiagonalNeg_1_4 numeric
@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_X_9_25 numeric
@attribute Mass_Center_X_0_25 numeric
@attribute Airs_Center_X_7_25 numeric
@attribute Mass_Center_X_7_16 numeric
@attribute Mass_Center_Y_7_9 numeric
@attribute Airs_Center_X_4_9 numeric
@attribute Harris_Corners_X_0_16 numeric
@attribute Airs_Center_X_12_25 numeric
@attribute Hough_Lines_Horizontal_1_9 numeric
@attribute Hough_Lines_DiagonalNeg_3_4 numeric
@attribute Mass_Center_Y_8_9 numeric
@attribute Harris_Corners_X_0_25 numeric
@attribute Airs_Center_X_8_25 numeric
@attribute Airs_Center_X_1_4 numeric
@attribute Airs_Triangle_1_X_0_25 numeric
@attribute Airs_Center_X_15_16 numeric
@attribute Black_Pixel_4_9 numeric
@attribute Airs_Center_X_2_4 numeric
@attribute Airs_Center_X_2_25 numeric
@attribute Mass_Center_Y_9_16 numeric
@attribute Hough_Lines_DiagonalPos_0_4 numeric
@attribute Airs_Center_X_5_25 numeric
@attribute Airs_Triangle_1_Y_4_9 numeric
@attribute Airs_Center_X_7_9 numeric
@attribute Airs_Center_X_24_25 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
0,0,11.1111,75.4717,0,19.2857,0,0,28.3175,18.5185,76.4151,100,81.3252,0,0.756839,48.8095,71.4286,0,0,0,44.4444,25.9259,46.4286,100,49.2951,54.7619,0,71.4286,0.801887,0.206865,28.5714,0,50,14.2857,0,0.473485,0,8.33333,46.2264,0,49.0566,6.88312,48.5849,0,0,25,0,-5.33393,31.4286,11.9048,accident
0,0,19.1489,75,0,10.2941,0,0,19.1076,14.8936,49.6903,100,56.6893,0,0.856548,48.7805,47.561,0,0,0,46.8085,19.1489,67.0732,36.3636,49.6001,43.1851,0,73.1707,0.730989,0.162408,33.8814,0,44.5527,9.09091,26.6667,0.719669,0,7.31707,33.8235,0,6.86275,6.53361,48.3709,0,0,100,84.1463,1.44727,46.5036,0,accident
92.1429,0,22.2222,72.8571,0,3.57143,0,0,21.5773,18.5185,49.0385,100,46.875,0.787879,0.919192,48.8095,48.8095,0,0,0,42.5926,16.6667,46.4286,55.5556,50.6467,45.2381,0,75,0.352184,0.166293,48.5714,0,57.8623,0,21.4286,0.62407,0,5.95238,28.5714,0,49.0385,6.25541,50.9524,0,0,36.3636,73.8095,197.004,50.6778,0,accident
0,0,25.8065,74.2424,0,2.27273,0,0,23.1164,19.3548,51.4037,100,285.174,0,0,48.0769,53.7475,0,0,0,35.4839,19.3548,63.4615,30,50.92,92.3077,0,69.2308,0.689226,0.121318,49.3036,0,47.0673,0,33.3333,0.478267,0,9.61539,27.2727,0,7.57576,6.87104,46.0346,0,0,100,69.2308,5.40833,50.9213,0,accident
0,0,28.5714,77.2727,0,7.95455,0,0,25.6298,14.2857,51.0016,100,192,0,0,48.0769,49.188,0,0,0,50,7.14286,76.9231,11.1111,48.6723,65.3846,0,69.2308,0.519801,0.829457,43.1818,0,69.2308,0,37.5,0.616037,0,15.3846,29.5455,0,13.6364,13.3721,48.4073,0,0,40,73.0769,5.40833,49.533,0,accident
0,0,21.875,79.7101,18.1818,16.3043,0,0,18.9604,34.375,48.5294,75,154.802,0,0.669872,48.1481,31.4815,0,0,0,34.375,9.375,44.4503,30,39.7663,66.0013,0,74.0741,0.527477,0.356007,47.8261,0,75.9259,0,9.09091,0.297329,0,22.2222,39.1304,0,20.5882,13.9214,42.4623,0,0,50,90.7407,190.491,47.0432,0,accident
0,0,21.875,84.7826,0,11.9565,0,0,24.7757,31.25,50.3831,60,94.4,0,0.75,48.1481,49.6531,0,0,0,34.375,12.5,48.1481,30.7692,47.5277,89.3004,0,88.8889,0.616519,0.201239,45.6434,0,81.4815,0,20,0.453968,0,35.1852,37.6812,0,29.4118,14.9068,46.2815,0,0,66.6667,48.1481,149.251,48.3774,0,accident
0,0,30.303,73.1884,0,10.8696,0,0,24.8139,24.2424,50.7121,100,34.7222,0,0.743902,48.1481,47.56,0,0,0,33.3333,12.1212,64.8148,37.5,50.3911,48.1481,0,53.7037,0.539166,0.430352,36.9565,0,57.4074,0,13.3333,0.717694,0,0,29.7101,0,5.88235,9.96819,50,90.7407,0,80,77.7778,5.94884,48.913,0,accident
96.4286,0,9.52381,69.8113,4.34783,20,0,0,21.7378,33.3333,48.1132,100,128.116,0.962963,0.734586,0,48.8095,0,0,0,33.3333,23.8095,84.5238,72.2222,50.3185,83.3333,0,44.0476,0.906604,0.234206,40.7143,0,46.4286,0,8.69565,0.590508,0,0,43.3962,0,0,7.61905,51.4141,83.3333,0,100,0,2.51953,56.4286,13.0952,accident
77.4648,0,4.65116,59.434,5.55556,3.52113,0,0,21.1497,13.9535,84.9057,100,85.034,0.650913,0.938095,0,84.5238,89.2857,0,0,41.8605,39.5349,47.619,60,53.9971,61.9048,0,20.2381,0.538959,0.4082,48.5915,98.1132,51.1905,0,27.7778,0.446529,0,0,31.1321,0,95.283,7.1831,58.4906,59.5238,0,42.8571,77.381,138.776,45.7746,0,accident
